IPORIGEN,IPDESTINO,DNS/FLAGS
192.168.100.65,64.233.186.95,0x0011
64.233.186.95,192.168.100.65,0x0011
192.168.100.65,172.217.192.95,0x0011
172.217.192.95,192.168.100.65,0x0011
192.168.100.65,172.217.192.94,0x0011
172.217.192.94,192.168.100.65,0x0011
192.168.100.65,64.233.190.94,0x0011
64.233.190.94,192.168.100.65,0x0011
192.168.100.65,64.233.190.138,0x0011
64.233.190.138,192.168.100.65,0x0011
192.168.100.65,172.217.192.95,0x0011
172.217.192.95,192.168.100.65,0x0011
192.168.100.65,142.250.0.95,0x0011
142.250.0.95,192.168.100.65,0x0011
192.168.100.65,216.239.32.10,drive.google.com
216.239.32.10,192.168.100.65,drive.google.com
192.168.100.65,64.233.190.101,0x0011
64.233.190.101,192.168.100.65,0x0011
192.168.100.65,104.26.11.240,0x0011
104.26.11.240,192.168.100.65,0x0011
192.168.100.65,104.26.11.240,0x0011
104.26.11.240,192.168.100.65,0x0011
192.168.100.65,199.7.91.13,kknnmlofmidl.pw
199.7.91.13,192.168.100.65,kknnmlofmidl.pw
192.168.100.65,185.24.64.12,kknnmlofmidl.pw
185.24.64.12,192.168.100.65,kknnmlofmidl.pw
192.168.100.65,199.19.54.1,sc-d.sinkhole.shadowserver.org
199.19.54.1,192.168.100.65,sc-d.sinkhole.shadowserver.org
192.168.100.65,192.26.92.30,ns3.shadowserver.net
192.26.92.30,192.168.100.65,ns3.shadowserver.net
192.168.100.65,154.9.2.53,ns3.shadowserver.net
154.9.2.53,192.168.100.65,ns3.shadowserver.net
192.168.100.65,64.71.138.162,sc-d.sinkhole.shadowserver.org
64.71.138.162,192.168.100.65,sc-d.sinkhole.shadowserver.org
192.168.100.65,178.162.217.108,kknnmlofmidl.pw
178.162.217.108,192.168.100.65,kknnmlofmidl.pw
192.168.100.65,192.31.80.30,djpoppy.com
192.31.80.30,192.168.100.65,djpoppy.com
192.168.100.65,192.31.80.30,usrfyjueaneumqx.com
192.31.80.30,192.168.100.65,usrfyjueaneumqx.com
192.168.100.65,156.154.133.200,usrfyjueaneumqx.com
156.154.133.200,192.168.100.65,usrfyjueaneumqx.com
192.168.100.65,192.58.128.30,sdlgwfnfixtu.xyz
192.58.128.30,192.168.100.65,sdlgwfnfixtu.xyz
192.168.100.65,185.24.64.42,sdlgwfnfixtu.xyz
185.24.64.42,192.168.100.65,sdlgwfnfixtu.xyz
192.168.100.65,178.162.217.108,sdlgwfnfixtu.xyz
178.162.217.108,192.168.100.65,sdlgwfnfixtu.xyz
192.168.100.65,192.42.93.30,povbpffboved.com
192.42.93.30,192.168.100.65,povbpffboved.com
192.168.100.65,178.162.217.108,povbpffboved.com
178.162.217.108,192.168.100.65,povbpffboved.com
192.168.100.65,192.42.93.30,eibmornpk.com
192.42.93.30,192.168.100.65,eibmornpk.com
192.168.100.65,156.154.133.200,eibmornpk.com
156.154.133.200,192.168.100.65,eibmornpk.com
192.168.100.65,212.18.249.12,xssmsppxqqqi.pw
212.18.249.12,192.168.100.65,xssmsppxqqqi.pw
192.168.100.65,178.162.217.108,xssmsppxqqqi.pw
178.162.217.108,192.168.100.65,xssmsppxqqqi.pw
192.168.100.65,185.24.64.12,pxjwfveilyyu.pw
185.24.64.12,192.168.100.65,pxjwfveilyyu.pw
192.168.100.65,178.162.217.108,pxjwfveilyyu.pw
178.162.217.108,192.168.100.65,pxjwfveilyyu.pw
192.168.100.65,212.18.248.42,jiumvbqxeykr.xyz
212.18.248.42,192.168.100.65,jiumvbqxeykr.xyz
192.168.100.65,178.162.217.108,jiumvbqxeykr.xyz
178.162.217.108,192.168.100.65,jiumvbqxeykr.xyz
192.168.100.65,192.12.94.30,amazingdonutco.com
192.12.94.30,192.168.100.65,amazingdonutco.com
217.20.116.145,192.168.100.65,0x0011
192.168.100.65,104.26.11.240,0x0011
192.168.100.65,64.233.186.94,0x0011
64.233.186.94,192.168.100.65,0x0011
104.26.11.240,192.168.100.65,0x0011
192.168.100.65,142.251.0.136,0x0011
142.251.0.136,192.168.100.65,0x0011
217.20.116.134,192.168.100.65,0x0011
192.168.100.65,192.26.92.30,mixunderax.com
192.26.92.30,192.168.100.65,mixunderax.com
192.168.100.65,97.74.99.64,mixunderax.com
97.74.99.64,192.168.100.65,mixunderax.com
192.168.100.65,108.177.123.138,0x0011
108.177.123.138,192.168.100.65,0x0011
192.168.100.65,192.26.92.30,alforcargo.com
192.168.100.65,142.250.0.101,0x0011
142.250.0.101,192.168.100.65,0x0011
192.26.92.30,192.168.100.65,alforcargo.com
192.168.100.65,64.233.186.94,0x0011
64.233.186.94,192.168.100.65,0x0011
192.168.100.65,64.233.186.95,0x0011
64.233.186.95,192.168.100.65,0x0011
87.106.139.101,192.168.100.65,0x0011
192.168.100.65,142.250.0.95,0x0011
142.250.0.95,192.168.100.65,0x0011
192.168.100.65,216.239.34.10,play.google.com
192.168.100.65,216.239.38.10,play.google.com
216.239.34.10,192.168.100.65,play.google.com
216.239.38.10,192.168.100.65,play.google.com
192.168.100.65,216.239.34.10,ogads-pa.clients6.google.com
192.168.100.65,216.239.34.10,ogads-pa.clients6.google.com
216.239.34.10,192.168.100.65,ogads-pa.clients6.google.com
216.239.34.10,192.168.100.65,ogads-pa.clients6.google.com
13.248.169.48,192.168.100.65,0x0011
192.168.100.65,172.217.192.95,0x0011
172.217.192.95,192.168.100.65,0x0011
192.168.100.65,142.250.0.102,0x0011
142.250.0.102,192.168.100.65,0x0011
192.168.100.65,216.239.32.10,encrypted-tbn0.gstatic.com
192.168.100.65,216.239.38.10,encrypted-tbn0.gstatic.com
216.239.32.10,192.168.100.65,encrypted-tbn0.gstatic.com
216.239.38.10,192.168.100.65,encrypted-tbn0.gstatic.com
192.168.100.65,216.239.34.10,lh3.googleusercontent.com
192.168.100.65,216.239.38.10,lh3.googleusercontent.com
216.239.34.10,192.168.100.65,lh3.googleusercontent.com
192.168.100.65,216.239.38.10,googlehosted.l.googleusercontent.com
216.239.38.10,192.168.100.65,lh3.googleusercontent.com
216.239.38.10,192.168.100.65,googlehosted.l.googleusercontent.com
192.168.100.65,216.239.34.10,fonts.gstatic.com
192.168.100.65,216.239.38.10,www.gstatic.com
192.168.100.65,216.239.32.10,www.gstatic.com
216.239.34.10,192.168.100.65,fonts.gstatic.com
216.239.32.10,192.168.100.65,www.gstatic.com
216.239.38.10,192.168.100.65,www.gstatic.com
192.168.100.65,216.239.38.10,www.googleadservices.com
216.239.38.10,192.168.100.65,www.googleadservices.com
192.168.100.65,216.239.38.10,id.google.com
192.168.100.65,216.239.32.10,id.google.com
216.239.32.10,192.168.100.65,id.google.com
216.239.38.10,192.168.100.65,id.google.com
192.168.100.65,192.12.94.30,time.windows.com
192.12.94.30,192.168.100.65,time.windows.com
192.168.100.65,13.107.236.205,time.windows.com
13.107.236.205,192.168.100.65,time.windows.com
192.168.100.65,13.107.236.4,tm1.edgedns-tm.info
13.107.236.4,192.168.100.65,tm1.edgedns-tm.info
192.168.100.65,13.107.222.240,twc.trafficmanager.net
13.107.222.240,192.168.100.65,twc.trafficmanager.net
192.168.100.65,199.19.54.1,www.torproject.org
192.168.100.65,199.19.57.1,www.torproject.org
199.19.57.1,192.168.100.65,www.torproject.org
199.19.54.1,192.168.100.65,www.torproject.org
192.168.100.65,204.8.99.142,www.torproject.org
192.168.100.65,204.8.99.142,www.torproject.org
192.168.100.65,216.239.32.10,www.youtube.com
192.168.100.65,216.239.38.10,www.youtube.com
216.239.32.10,192.168.100.65,www.youtube.com
192.168.100.65,216.239.38.10,youtube-ui.l.google.com
216.239.38.10,192.168.100.65,www.youtube.com
216.239.38.10,192.168.100.65,youtube-ui.l.google.com
192.168.100.65,216.239.32.10,i.ytimg.com
192.168.100.65,216.239.32.10,i.ytimg.com
216.239.32.10,192.168.100.65,i.ytimg.com
216.239.32.10,192.168.100.65,i.ytimg.com
192.168.100.65,216.239.38.10,ssl.gstatic.com
192.168.100.65,216.239.34.10,googleads.g.doubleclick.net
216.239.34.10,192.168.100.65,googleads.g.doubleclick.net
216.239.38.10,192.168.100.65,ssl.gstatic.com
192.168.100.65,216.239.38.10,jnn-pa.googleapis.com
192.168.100.65,216.239.34.10,jnn-pa.googleapis.com
216.239.34.10,192.168.100.65,jnn-pa.googleapis.com
216.239.38.10,192.168.100.65,jnn-pa.googleapis.com
192.168.100.65,205.251.193.63,618ff1dd.live.darktracesensor.com
205.251.193.63,192.168.100.65,618ff1dd.live.darktracesensor.com
192.168.100.65,204.8.99.145,www.torproject.org
192.168.100.65,204.8.99.145,www.torproject.org
204.8.99.145,192.168.100.65,www.torproject.org
204.8.99.145,192.168.100.65,www.torproject.org
192.168.100.65,216.239.38.10,safebrowsing.googleapis.com
192.168.100.65,216.239.34.10,safebrowsing.googleapis.com
216.239.34.10,192.168.100.65,safebrowsing.googleapis.com
216.239.38.10,192.168.100.65,safebrowsing.googleapis.com
192.168.100.65,216.239.34.10,content-autofill.googleapis.com
192.168.100.65,216.239.34.10,content-autofill.googleapis.com
216.239.34.10,192.168.100.65,content-autofill.googleapis.com
216.239.34.10,192.168.100.65,content-autofill.googleapis.com
192.168.100.65,172.217.192.95,0x0011
172.217.192.95,192.168.100.65,0x0011
192.168.100.65,192.31.80.30,www.netflix.com
192.168.100.65,192.12.94.30,www.netflix.com
192.31.80.30,192.168.100.65,www.netflix.com
192.168.100.65,205.251.192.81,www.netflix.com
205.251.192.81,192.168.100.65,www.netflix.com
192.168.100.65,205.251.192.81,www.dradis.netflix.com
192.12.94.30,192.168.100.65,www.netflix.com
192.168.100.65,205.251.192.81,www.dradis.netflix.com
205.251.192.81,192.168.100.65,www.dradis.netflix.com
192.168.100.65,192.33.14.30,e.ns.nflxso.net
192.33.14.30,192.168.100.65,e.ns.nflxso.net
192.168.100.65,45.57.8.1,e.ns.nflxso.net
205.251.192.81,192.168.100.65,www.dradis.netflix.com
192.168.100.65,45.57.8.1,www.dradis.netflix.com
45.57.8.1,192.168.100.65,e.ns.nflxso.net
192.168.100.65,45.57.8.1,www.dradis.netflix.com
45.57.8.1,192.168.100.65,www.dradis.netflix.com
192.168.100.65,45.57.8.1,www.us-east-1.internal.dradis.netflix.com
45.57.8.1,192.168.100.65,www.us-east-1.internal.dradis.netflix.com
45.57.8.1,192.168.100.65,www.dradis.netflix.com
192.168.100.65,205.251.192.27,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
192.168.100.65,205.251.192.27,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
205.251.192.27,192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
192.168.100.65,199.7.83.42,ns1.amzndns.co.uk
205.251.192.27,192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
192.168.100.65,202.12.27.33,ns1.amzndns.co.uk
199.7.83.42,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,156.154.103.3,ns1.amzndns.co.uk
202.12.27.33,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,156.154.101.3,ns1.amzndns.co.uk
156.154.101.3,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,205.251.195.158,ns1.amzndns.co.uk
156.154.103.3,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,205.251.195.158,ns1.amzndns.co.uk
205.251.195.158,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,156.154.67.10,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
205.251.195.158,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,156.154.67.10,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
156.154.67.10,192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
