IPORIGEN,IPDESTINO
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,239.255.255.250
UPD,192.168.100.5,192.168.100.65
UPD,192.168.100.65,239.255.255.250
UPD,192.168.100.5,192.168.100.65
UPD,192.168.100.65,239.255.255.250
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.5,192.168.100.65
UPD,192.168.100.65,239.255.255.250
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.5,192.168.100.65
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.5,224.0.0.251
UPD,,
UPD,192.168.100.5,224.0.0.251
UPD,,
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.1,239.255.255.250
UPD,192.168.100.1,239.255.255.250
UPD,192.168.100.1,239.255.255.250
UPD,192.168.100.1,239.255.255.250
UPD,192.168.100.65,108.177.123.113
UPD,192.168.100.65,108.177.123.113
UPD,108.177.123.113,192.168.100.65
UPD,108.177.123.113,192.168.100.65
UPD,108.177.123.113,192.168.100.65
UPD,192.168.100.65,108.177.123.113
UPD,192.168.100.65,108.177.123.113
UPD,192.168.100.65,108.177.123.113
UPD,192.168.100.65,108.177.123.113
UPD,192.168.100.65,108.177.123.113
UPD,192.168.100.65,108.177.123.113
UPD,192.168.100.65,108.177.123.113
UPD,192.168.100.65,108.177.123.113
UPD,192.168.100.65,108.177.123.113
UPD,108.177.123.113,192.168.100.65
UPD,108.177.123.113,192.168.100.65
UPD,108.177.123.113,192.168.100.65
UPD,108.177.123.113,192.168.100.65
UPD,108.177.123.113,192.168.100.65
UPD,192.168.100.65,108.177.123.113
UPD,108.177.123.113,192.168.100.65
UPD,108.177.123.113,192.168.100.65
UPD,192.168.100.65,108.177.123.113
UPD,108.177.123.113,192.168.100.65
UPD,108.177.123.113,192.168.100.65
UPD,192.168.100.65,108.177.123.113
UPD,108.177.123.113,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.65,64.233.186.94
UPD,192.168.100.65,64.233.186.94
UPD,64.233.186.94,192.168.100.65
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.1,239.255.255.250
UPD,192.168.100.1,239.255.255.250
UPD,192.168.100.1,239.255.255.250
UPD,192.168.100.1,239.255.255.250
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.54,224.0.0.251
UPD,,
UPD,192.168.100.65,64.233.190.104
UPD,192.168.100.65,64.233.190.104
UPD,192.168.100.65,64.233.190.104
UPD,64.233.190.104,192.168.100.65
UPD,64.233.190.104,192.168.100.65
UPD,64.233.190.104,192.168.100.65
UPD,64.233.190.104,192.168.100.65
UPD,192.168.100.65,64.233.190.104
