IP Origen,IP Destino/Dominio,Tipo
192.168.100.65,64.233.186.95,TIPO FIN-ACK
64.233.186.95,192.168.100.65,TIPO FIN-ACK
192.168.100.65,172.217.192.95,TIPO FIN-ACK
172.217.192.95,192.168.100.65,TIPO FIN-ACK
192.168.100.65,172.217.192.94,TIPO FIN-ACK
172.217.192.94,192.168.100.65,TIPO FIN-ACK
192.168.100.65,64.233.190.94,TIPO FIN-ACK
64.233.190.94,192.168.100.65,TIPO FIN-ACK
192.168.100.65,64.233.190.138,TIPO FIN-ACK
64.233.190.138,192.168.100.65,TIPO FIN-ACK
192.168.100.65,172.217.192.95,TIPO FIN-ACK
172.217.192.95,192.168.100.65,TIPO FIN-ACK
192.168.100.65,142.250.0.95,TIPO FIN-ACK
142.250.0.95,192.168.100.65,TIPO FIN-ACK
192.168.100.65,drive.google.com,TIPO DNS
216.239.32.10,drive.google.com,TIPO DNS
192.168.100.65,64.233.190.101,TIPO FIN-ACK
64.233.190.101,192.168.100.65,TIPO FIN-ACK
192.168.100.65,104.26.11.240,TIPO FIN-ACK
104.26.11.240,192.168.100.65,TIPO FIN-ACK
192.168.100.65,104.26.11.240,TIPO FIN-ACK
104.26.11.240,192.168.100.65,TIPO FIN-ACK
192.168.100.65,kknnmlofmidl.pw,TIPO DNS
199.7.91.13,kknnmlofmidl.pw,TIPO DNS
192.168.100.65,kknnmlofmidl.pw,TIPO DNS
185.24.64.12,kknnmlofmidl.pw,TIPO DNS
192.168.100.65,sc-d.sinkhole.shadowserver.org,TIPO DNS
199.19.54.1,sc-d.sinkhole.shadowserver.org,TIPO DNS
192.168.100.65,ns3.shadowserver.net,TIPO DNS
192.26.92.30,ns3.shadowserver.net,TIPO DNS
192.168.100.65,ns3.shadowserver.net,TIPO DNS
154.9.2.53,ns3.shadowserver.net,TIPO DNS
192.168.100.65,sc-d.sinkhole.shadowserver.org,TIPO DNS
64.71.138.162,sc-d.sinkhole.shadowserver.org,TIPO DNS
192.168.100.65,kknnmlofmidl.pw,TIPO DNS
178.162.217.108,kknnmlofmidl.pw,TIPO DNS
192.168.100.65,djpoppy.com,TIPO DNS
192.31.80.30,djpoppy.com,TIPO DNS
192.168.100.65,usrfyjueaneumqx.com,TIPO DNS
192.31.80.30,usrfyjueaneumqx.com,TIPO DNS
192.168.100.65,usrfyjueaneumqx.com,TIPO DNS
156.154.133.200,usrfyjueaneumqx.com,TIPO DNS
192.168.100.65,sdlgwfnfixtu.xyz,TIPO DNS
192.58.128.30,sdlgwfnfixtu.xyz,TIPO DNS
192.168.100.65,sdlgwfnfixtu.xyz,TIPO DNS
185.24.64.42,sdlgwfnfixtu.xyz,TIPO DNS
192.168.100.65,sdlgwfnfixtu.xyz,TIPO DNS
178.162.217.108,sdlgwfnfixtu.xyz,TIPO DNS
192.168.100.65,povbpffboved.com,TIPO DNS
192.42.93.30,povbpffboved.com,TIPO DNS
192.168.100.65,povbpffboved.com,TIPO DNS
178.162.217.108,povbpffboved.com,TIPO DNS
