IP Origen,IP Destino/Dominio,Protocolo
192.168.100.65,64.233.186.94,UDP
64.233.186.94,192.168.100.65,UDP
64.233.186.94,192.168.100.65,UDP
192.168.100.65,64.233.186.94,UDP
192.168.100.65,64.233.186.94,UDP
64.233.186.94,192.168.100.65,UDP
192.168.100.65,64.233.186.94,UDP
64.233.186.94,192.168.100.65,UDP
64.233.186.94,192.168.100.65,UDP
192.168.100.65,64.233.186.94,UDP
192.168.100.65,64.233.186.94,UDP
64.233.186.94,192.168.100.65,UDP
192.168.100.65,64.233.186.94,UDP
64.233.186.94,192.168.100.65,UDP
64.233.186.94,192.168.100.65,UDP
192.168.100.65,64.233.186.94,UDP
192.168.100.65,64.233.186.94,UDP
64.233.186.94,192.168.100.65,UDP
192.168.100.65,239.255.255.250,UDP
192.168.100.5,192.168.100.65,UDP
192.168.100.65,239.255.255.250,UDP
192.168.100.5,192.168.100.65,UDP
192.168.100.65,239.255.255.250,UDP
192.168.100.54,224.0.0.251,UDP
192.168.100.5,192.168.100.65,UDP
192.168.100.65,239.255.255.250,UDP
192.168.100.54,224.0.0.251,UDP
192.168.100.5,192.168.100.65,UDP
192.168.100.54,224.0.0.251,UDP
192.168.100.54,224.0.0.251,UDP
192.168.100.5,224.0.0.251,UDP
192.168.100.5,224.0.0.251,UDP
192.168.100.65,64.233.186.94,UDP
64.233.186.94,192.168.100.65,UDP
64.233.186.94,192.168.100.65,UDP
192.168.100.65,64.233.186.94,UDP
192.168.100.65,64.233.186.94,UDP
64.233.186.94,192.168.100.65,UDP
192.168.100.1,239.255.255.250,UDP
192.168.100.1,239.255.255.250,UDP
192.168.100.1,239.255.255.250,UDP
192.168.100.1,239.255.255.250,UDP
192.168.100.65,108.177.123.113,UDP
192.168.100.65,108.177.123.113,UDP
108.177.123.113,192.168.100.65,UDP
108.177.123.113,192.168.100.65,UDP
108.177.123.113,192.168.100.65,UDP
192.168.100.65,108.177.123.113,UDP
192.168.100.65,108.177.123.113,UDP
