IP-ORIGEN,IP-DESTINO,DNS/FLAGS
192.168.100.65,69.163.33.82,0x00c2
192.168.100.65,69.163.33.82,0x00c2
192.168.100.65,69.163.33.82,0x0002
192.168.100.65,87.106.139.101,0x00c2
192.168.100.65,87.106.139.101,0x0010
192.168.100.65,87.106.139.101,0x0018
192.168.100.65,192.26.92.30,mixunderax.com
192.168.100.65,87.106.139.101,0x0010
192.26.92.30,192.168.100.65,mixunderax.com
192.168.100.65,97.74.99.64,mixunderax.com
97.74.99.64,192.168.100.65,mixunderax.com
192.168.100.65,192.26.92.30,alforcargo.com
192.26.92.30,192.168.100.65,alforcargo.com
192.168.100.65,181.113.229.139,0x00c2
192.168.100.65,87.106.139.101,0x0010
192.168.100.65,181.113.229.139,0x00c2
192.168.100.65,181.113.229.139,0x0002
192.168.100.65,159.65.241.220,0x00c2
192.168.100.65,159.65.241.220,0x0010
192.168.100.65,159.65.241.220,0x0018
192.168.100.65,159.65.241.220,0x0010
192.168.100.65,159.65.241.220,0x0010
192.168.100.65,87.106.139.101,0x0011
192.168.100.65,159.65.241.220,0x0011
