IP Origen,IP Destino/Dominio,Tipo
192.168.100.65,64.233.186.95,TCP FIN-ACK
64.233.186.95,192.168.100.65,TCP FIN-ACK
192.168.100.65,172.217.192.95,TCP FIN-ACK
172.217.192.95,192.168.100.65,TCP FIN-ACK
192.168.100.65,172.217.192.94,TCP FIN-ACK
172.217.192.94,192.168.100.65,TCP FIN-ACK
192.168.100.65,64.233.190.94,TCP FIN-ACK
64.233.190.94,192.168.100.65,TCP FIN-ACK
192.168.100.65,64.233.190.138,TCP FIN-ACK
64.233.190.138,192.168.100.65,TCP FIN-ACK
192.168.100.65,172.217.192.95,TCP FIN-ACK
172.217.192.95,192.168.100.65,TCP FIN-ACK
192.168.100.65,142.250.0.95,TCP FIN-ACK
142.250.0.95,192.168.100.65,TCP FIN-ACK
192.168.100.65,drive.google.com,DNS
216.239.32.10,drive.google.com,DNS
192.168.100.65,64.233.190.101,TCP FIN-ACK
64.233.190.101,192.168.100.65,TCP FIN-ACK
192.168.100.65,104.26.11.240,TCP FIN-ACK
104.26.11.240,192.168.100.65,TCP FIN-ACK
192.168.100.65,104.26.11.240,TCP FIN-ACK
104.26.11.240,192.168.100.65,TCP FIN-ACK
192.168.100.65,kknnmlofmidl.pw,DNS
199.7.91.13,kknnmlofmidl.pw,DNS
192.168.100.65,kknnmlofmidl.pw,DNS
185.24.64.12,kknnmlofmidl.pw,DNS
192.168.100.65,sc-d.sinkhole.shadowserver.org,DNS
199.19.54.1,sc-d.sinkhole.shadowserver.org,DNS
192.168.100.65,ns3.shadowserver.net,DNS
192.26.92.30,ns3.shadowserver.net,DNS
192.168.100.65,ns3.shadowserver.net,DNS
154.9.2.53,ns3.shadowserver.net,DNS
192.168.100.65,sc-d.sinkhole.shadowserver.org,DNS
64.71.138.162,sc-d.sinkhole.shadowserver.org,DNS
192.168.100.65,kknnmlofmidl.pw,DNS
178.162.217.108,kknnmlofmidl.pw,DNS
192.168.100.65,djpoppy.com,DNS
192.31.80.30,djpoppy.com,DNS
192.168.100.65,usrfyjueaneumqx.com,DNS
192.31.80.30,usrfyjueaneumqx.com,DNS
192.168.100.65,usrfyjueaneumqx.com,DNS
156.154.133.200,usrfyjueaneumqx.com,DNS
192.168.100.65,sdlgwfnfixtu.xyz,DNS
192.58.128.30,sdlgwfnfixtu.xyz,DNS
192.168.100.65,sdlgwfnfixtu.xyz,DNS
185.24.64.42,sdlgwfnfixtu.xyz,DNS
192.168.100.65,sdlgwfnfixtu.xyz,DNS
178.162.217.108,sdlgwfnfixtu.xyz,DNS
192.168.100.65,povbpffboved.com,DNS
192.42.93.30,povbpffboved.com,DNS
